OBJECTID,address,address2,apt_room,arrive_date_time,cleared_date_time,dispatch_date_time,exposure,incident_number,incident_type,incident_type_description,platoon,station,Longitude,Latitude
594781,"618 N BOYLAN AVE RALEIGH, NC 27601",PARAMOUNT CONDOS                        ,               ,2015-07-10 05:10:00,2015-07-10 05:20:00,2015-07-10 05:03:00,0,15-0020943,735,Alarm system sounded due to malfunction,C,1,-78.64877512383505,35.78766396222107
594783,"3200 WELLINGTON CT RALEIGH, NC 27601",DPG MANAGEMENT CO                       ,               ,2015-07-22 14:54:00,2015-07-22 15:02:00,2015-07-22 14:48:00,0,15-0022241,730,System malfunction Other,B,22,-78.5798076802608,35.88701850299525
594784,"2200 SUMMIT PARK LN RALEIGH, NC 27601",RESIDENCE INN RA                        ,               ,2015-07-02 02:42:00,2015-07-02 02:45:00,2015-07-02 02:38:00,0,15-0020073,442,Overheated motor,A,16,-78.67448697518834,35.834667019311894
594785,"6204 SHANDA DR RALEIGH, NC 27601",                                        ,               ,2015-07-01 13:53:00,2015-07-01 13:55:00,2015-07-01 13:49:00,0,15-0019995,611,Dispatched & cancelled en route,A,15,-78.63094300399823,35.864163913769524
594786,"1915 HAWKINS ST RALEIGH, NC 27601",                                        ,               ,2015-07-27 07:23:00,2015-07-27 07:27:00,2015-07-27 07:19:00,0,15-0022749,611,Dispatched & cancelled en route,A,7,-78.61195520424333,35.778974284210854
594787,"2018 SMALLWOOD DR RALEIGH, NC 27605",                                        ,D              ,2015-07-15 00:20:00,2015-07-15 00:58:00,2015-07-15 00:17:00,0,15-0021457,743,Smoke detector activation no fire - unintentional,C,5,-78.66082538377104,35.7921022768633
594788,"8015 BROWN BARK PL RALEIGH, NC 27615",                                        ,               ,2015-07-09 23:03:00,2015-07-09 23:14:00,2015-07-09 22:58:00,0,15-0020911,200,Overpressure rupture explosion overheat other,C,4,-78.6557040667767,35.888024020016594
594789,"3113 CHARLES B ROOT WYND RALEIGH, NC 27601",INDEPENDENCE VILLAGE                    ,344,2015-07-13 13:29:00,2015-07-13 13:32:00,2015-07-13 13:26:00,0,15-0021303,622,No Incident found on arrival at dispatch address,B,14,-78.7084515538354,35.82600489920163
594791,"3603 SUE ELLEN DR RALEIGH, NC 27601",                                        ,               ,2015-07-20 22:34:00,2015-07-20 22:43:00,2015-07-20 22:27:00,0,15-0022064,445,Arcing shorted electrical equipment,B,19,-78.579149871826,35.83297270333374
594792,"2725 POOLE RD RALEIGH, NC 27601",SLADE RESIDENCE                         ,               ,2015-07-02 22:48:00,2015-07-02 22:54:00,2015-07-02 22:46:00,0,15-0020170,730,System malfunction Other,B,12,-78.59724649431004,35.77215496574533
594793,"9428 BELLS VALLEY DR RALEIGH, NC 27601",                                        ,               ,2015-07-03 17:08:00,2015-07-03 17:13:00,2015-07-03 17:03:00,0,15-0020244,651,Smoke scare odor of smoke,A,29,-78.73852070503389,35.91253296430944
594795,"4953 LIVERPOOL LN RALEIGH, NC 27601",                                        ,               ,2015-07-31 21:01:00,2015-07-31 21:05:00,2015-07-31 20:56:00,0,15-0023226,700,False alarm or false call Other,B,21,-78.55694538110849,35.803882236763805
594796,"5108 PINEHALL WYND RALEIGH, NC 27601",                                        ,               ,2015-07-23 05:17:00,2015-07-23 05:17:00,2015-07-23 05:06:00,0,15-0022309,743,Smoke detector activation no fire - unintentional,B,21,-78.5525299422981,35.819888093643534
594797,"KAPLAN DR & KENT RD RALEIGH, NC 27606",                                        ,               ,2015-07-14 05:59:00,2015-07-14 06:36:00,2015-07-14 05:53:00,0,15-0021391,445,Arcing shorted electrical equipment,B,8,-78.70446526269414,35.777281030284364
594798,"5915 DIXON DR RALEIGH, NC 27601",NOEL RESIDENCE                          ,               ,2015-07-27 18:27:00,2015-07-27 18:33:00,2015-07-27 18:19:00,0,15-0022792,743,Smoke detector activation no fire - unintentional,C,16,-78.6495275392423,35.86055275980667
594800,"128 CLARENDON CRES RALEIGH, NC 27601",ENLOE                                   ,               ,2015-07-14 18:28:00,2015-07-14 18:30:00,2015-07-14 18:24:00,0,15-0021418,743,Smoke detector activation no fire - unintentional,C,7,-78.60269790444204,35.780665145967724
594801,"5344 SEASPRAY LN RALEIGH, NC 27601",                                        ,               ,2015-07-06 02:20:00,2015-07-06 05:36:00,2015-07-06 02:14:00,0,15-0020502,111,Building fire,C,27,-78.54539643499993,35.78762363135122
594802,"OLD WAKE FOREST RD & PACIFIC DR RALEIGH, NC 27601",                                        ,               ,2015-07-09 02:59:00,2015-07-09 03:02:00,2015-07-09 02:53:00,0,15-0020824,622,No Incident found on arrival at dispatch address,A,15,-78.60530570472869,35.850792551340476
594804,"2 BROUGHTON DR RALEIGH, NC 27605",NCSU D H HILL LIBR                      ,               ,2015-07-09 23:30:00,2015-07-09 23:54:00,2015-07-09 23:27:00,0,15-0020916,745,Alarm system activation no fire - unintentional,C,5,-78.6689658099762,35.78761353223465
594806,"567 E DAVIE ST RALEIGH, NC 27601",                                        ,               ,2015-07-22 08:10:00,2015-07-22 08:23:00,2015-07-22 08:05:00,0,15-0022219,411,Gasoline or other flammable liquid spill,A,3,-78.6302789684419,35.775367731195885
594807,"625 HUTTON ST RALEIGH, NC 27601",                                        ,               ,2015-07-24 15:39:00,2015-07-24 16:21:00,2015-07-24 15:35:00,0,15-0022465,412,Gas leak (natural gas or LPG),B,8,-78.70204562083195,35.79007787463687
594808,"6451 TRIANGLE PLANTATION DR RALEIGH, NC 27601",CASSIDY TURLEY/PLANTTION POINT          ,               ,2015-07-06 23:46:00,2015-07-06 23:55:00,2015-07-06 23:41:00,0,15-0020593,700,False alarm or false call Other,B,15,-78.58092972276306,35.873564070666966
594809,"802 SEMART DR RALEIGH, NC 27601",TRADEMARK PRPOERTIES                    ,               ,2015-07-20 12:58:00,2015-07-20 13:08:00,2015-07-20 12:52:00,0,15-0022014,745,Alarm system activation no fire - unintentional,B,3,-78.64009444542812,35.790380714304355
594812,"1725 NEW HOPE CHURCH RD RALEIGH, NC 27601",WALMART RA                              ,               ,2015-07-12 11:13:00,2015-07-12 11:27:00,2015-07-12 11:07:00,0,15-0021166,740,Unintentional transmission of alarm Other,B,11,-78.6098613049779,35.835744796967724
594813,"MARSH CREEK RD & FAVERSHAM PL RALEIGH, NC 27601",                                        ,               ,2015-07-07 03:08:00,2015-07-07 03:28:00,2015-07-07 03:02:00,0,15-0020608,162,Outside equipment fire,B,11,-78.5747717050151,35.82036340868477
594814,"6412 CAPITAL BLVD RALEIGH, NC 27601",HILTON GARDEN INN RA                    ,               ,2015-07-09 16:53:00,2015-07-09 16:54:00,2015-07-09 16:48:00,0,15-0020876,745,Alarm system activation no fire - unintentional,C,19,-78.57923813130267,35.87215838810539
594815,"6675 FALLS OF NEUSE RD RALEIGH, NC 27601",POLE PLACE FITNESS                      ,               ,2015-07-18 22:26:00,2015-07-18 22:31:00,2015-07-18 22:22:00,0,15-0021836,730,System malfunction Other,C,15,-78.62298054932221,35.87468571610869
594816,"4100 WESTERN BLVD RALEIGH, NC 27606",CIRCLE K RA                             ,               ,2015-07-25 01:37:00,2015-07-25 01:44:00,2015-07-25 01:33:00,0,15-0022524,700,False alarm or false call Other,B,8,-78.69420410724095,35.78416770711876
594817,"222 GLENWOOD AVE RALEIGH, NC 27601",222GLENWOOD                             ,               ,2015-07-02 14:24:00,2015-07-02 14:50:00,2015-07-02 14:21:00,0,15-0020113,745,Alarm system activation no fire - unintentional,B,1,-78.64739211894613,35.783408313732096
594818,"8801 CAPITAL BLVD RALEIGH, NC 27601",MALLINCKRODT                            , PROCESS #1    ,2015-07-19 15:25:00,2015-07-19 15:34:00,2015-07-19 15:22:00,0,15-0021909,743,Smoke detector activation no fire - unintentional,A,22,-78.55849125684664,35.898895140178844
594819,"TRENTON RD & TRINITY FARMS RD RALEIGH, NC 27601",                                        ,               ,2015-07-09 01:35:00,2015-07-09 01:59:00,2015-07-09 01:27:00,0,15-0020813,622,No Incident found on arrival at dispatch address,A,14,-78.74397770987349,35.818894200863454
594820,"8601 OLDE STATION DR RALEIGH, NC 27615",                                        ,103,2015-07-08 02:50:00,2015-07-08 03:08:00,2015-07-08 02:44:00,0,15-0020719,440,Electrical  wiring/equipment problem Other,C,4,-78.6581214116467,35.89869830097014
594823,"1313 FORESTFORD CT RALEIGH, NC 27601",                                        ,               ,2015-07-01 21:52:00,2015-07-01 21:59:00,2015-07-01 21:44:00,0,15-0020050,611,Dispatched & cancelled en route,A,26,-78.58628604891719,35.75928611827183
594824,"4531 NEW BERN AVE RALEIGH, NC 27603",WIDEWATERS NEW BERN COMMONS             ,               ,2015-07-23 22:59:00,2015-07-23 23:15:00,2015-07-23 22:55:00,0,15-0022398,745,Alarm system activation no fire - unintentional,C,21,-78.55875147542824,35.79831397231329
594825,"400 CEDARVIEW CT RALEIGH, NC 27601",ACHIEVEMENT SCHOOL                      ,               ,2015-07-22 13:51:00,2015-07-22 14:04:00,2015-07-22 13:51:00,0,15-0022235,745,Alarm system activation no fire - unintentional,B,9,-78.63136358892605,35.85660981200642
594826,"4304 BURCHARD DR RALEIGH, NC 27601",MANSO RESIDENCE                         ,               ,2015-07-14 15:04:00,2015-07-14 15:07:00,2015-07-14 15:00:00,0,15-0021410,700,False alarm or false call Other,C,28,-78.51708568386786,35.89563809893711
594827,"9604 POST MILL PL RALEIGH, NC 27601",                                        ,               ,2015-07-20 04:25:00,2015-07-20 04:43:00,2015-07-20 04:19:00,0,15-9019264,500,Service Call other,A,18,-78.67578535698088,35.910651865189585
594828,"609 GLENMILL CT RALEIGH, NC 27606",                                        ,               ,2015-07-20 04:57:00,2015-07-20 05:15:00,2015-07-20 04:51:00,0,15-0021990,412,Gas leak (natural gas or LPG),A,8,-78.70239798320551,35.77319452775381
594829,"8241 ALLYNS LANDING WAY RALEIGH, NC 27615",                                        ,101,2015-07-18 15:41:00,2015-07-18 17:24:00,2015-07-18 15:36:00,0,15-0021796,111,Building fire,C,4,-78.65048706932316,35.892300754767064
594830,"118 E SOUTH ST RALEIGH, NC 27601",SHAW UNIVERSITY ESTY HALL               ,               ,2015-07-29 16:27:00,2015-07-29 16:35:00,2015-07-29 16:24:00,0,15-0022977,743,Smoke detector activation no fire - unintentional,B,1,-78.63799119020902,35.772082575967595
594831,"7816 HEMLOCK CT RALEIGH, NC 27615",                                        ,               ,2015-07-08 11:34:00,2015-07-08 11:42:00,2015-07-08 11:31:00,0,15-0020741,730,System malfunction Other,A,4,-78.65075732118817,35.88320863434065
594832,"6104 MCDEVON DR RALEIGH, NC 27601",SALEH                                   ,               ,2015-07-23 16:33:00,2015-07-23 17:20:00,2015-07-23 16:29:00,0,15-0022361,743,Smoke detector activation no fire - unintentional,C,29,-78.73520480323296,35.915313681856226
594833,"301 N WILMINGTON ST RALEIGH, NC 27601",EDUCATION BLDG                          ,               ,2015-07-09 02:17:00,2015-07-09 02:33:00,2015-07-09 02:13:00,0,15-0020823,735,Alarm system sounded due to malfunction,A,3,-78.63825736821424,35.77676775420826
594834,"JONES SAUSAGE RD & ROCK QUARRY RD RALEIGH, NC 27603",                                        ,               ,2015-07-10 10:58:00,2015-07-10 11:02:00,2015-07-10 10:53:00,0,15-0020955,142,Brush or brush-and-grass mixture fire,C,26,-78.5769778676399,35.730343488872755
594835,"3804 NEW BERN AVE RALEIGH, NC 27601",KNIGHTS INN HOTEL                       ,123,2015-07-18 07:12:00,2015-07-18 07:15:00,2015-07-18 07:06:00,0,15-0021772,611,Dispatched & cancelled en route,A,21,-78.57620211130659,35.79777317032185
594837,"8401 LOUISBURG RD RALEIGH, NC 27601",HIGHLAND CREEK S/D                      ,               ,2015-07-28 19:01:00,2015-07-28 19:24:00,2015-07-28 18:54:00,0,15-0022895,251,Excessive heat scorch burns with no ignition,A,28,-78.5118120638053,35.89410640131561
594838,"517 TARTAN CIR RALEIGH, NC 27603",                                        ,22,2015-07-30 21:54:00,2015-07-30 23:20:00,2015-07-30 21:50:00,0,15-0023122,111,Building fire,A,20,-78.68887012488288,35.771695332794955
594839,"6001 SHANDA DR RALEIGH, NC 27601",                                        ,A              ,2015-07-11 22:40:00,2015-07-11 22:52:00,2015-07-11 22:34:00,0,15-0021131,653,Smoke from barbecue tar kettle,B,15,-78.63268982657722,35.867953556040895
594840,"3329 APACHE DR RALEIGH, NC 27601",                                        ,               ,2015-07-30 11:08:00,2015-07-30 11:20:00,2015-07-30 11:01:00,0,15-0023062,480,Attempted burning illegal action Other,B,11,-78.61522915022891,35.8250335733541
594841,"2004 HUNTING RIDGE RD RALEIGH, NC 27601",                                        ,               ,2015-07-01 16:21:00,2015-07-01 16:27:00,2015-07-01 16:12:00,0,15-0020010,531,Smoke or odor removal,A,15,-78.60286914489477,35.877689590981284
594842,"4505 FALLS OF NEUSE RD RALEIGH, NC 27601",SOMERSET                                ,               ,2015-07-23 21:13:00,2015-07-23 21:25:00,2015-07-23 21:07:00,0,15-0022386,730,System malfunction Other,C,15,-78.61328182188187,35.84308066374973
594845,"403 DANIELS ST RALEIGH, NC 27601",BAILEYS                                 ,               ,2015-07-14 12:52:00,2015-07-14 13:13:00,2015-07-14 12:49:00,0,15-0021404,745,Alarm system activation no fire - unintentional,C,5,-78.66113728871916,35.789200842700595
594846,"9101 LEESVILLE RD RALEIGH, NC 27601",FOOD LION                               ,101,2015-07-21 19:32:00,2015-07-21 19:39:00,2015-07-21 19:29:00,0,15-0022143,745,Alarm system activation no fire - unintentional,A,23,-78.72381078956148,35.89710350264219
594848,"I 495 SB & S NEW HOPE RD RALEIGH, NC 27601",EXIT 420 S NEW HOPE RD                  ,               ,2015-07-15 15:21:00,2015-07-15 15:25:00,2015-07-15 15:12:00,0,15-0021511,611,Dispatched & cancelled en route,B,21,-78.6345159991419,35.77546935808375
594850,"622 DANIELS ST RALEIGH, NC 27601",                                        ,               ,2015-07-26 00:08:00,2015-07-26 00:10:00,2015-07-26 00:03:00,0,15-0022619,745,Alarm system activation no fire - unintentional,C,6,-78.66055473485065,35.79321031412864
594851,"POOLE RD & BUS WAY RALEIGH, NC 27601",BUS TERMINAL                            ,               ,2015-07-26 23:42:00,2015-07-26 23:49:00,2015-07-26 23:40:00,0,15-0022721,611,Dispatched & cancelled en route,A,26,-78.56601894938301,35.768404186061936
594852,"713 PEACH RD RALEIGH, NC 27603",                                        ,C              ,2015-07-28 20:18:00,2015-07-28 20:42:00,2015-07-28 20:13:00,0,15-0022901,111,Building fire,A,2,-78.6537544064032,35.74205295928584
594853,"1310 SILVER SAGE DR RALEIGH, NC 27601",                                        ,               ,2015-07-02 15:32:00,2015-07-02 15:38:00,2015-07-02 15:27:00,0,15-0020122,743,Smoke detector activation no fire - unintentional,B,20,-78.72798235014528,35.763248355029006
594855,"7601 GLENWOOD AVE RALEIGH, NC 27601",AUCTION DIRECT USA                      ,               ,2015-07-08 18:30:00,2015-07-08 18:36:00,2015-07-08 18:27:00,0,15-0020776,745,Alarm system activation no fire - unintentional,A,17,-78.72095403197363,35.868749898025825
594857,"ROLESVILLE BYPASS & LOUISBURG RD RALEIGH, NC 27601",                                        ,               ,2015-07-18 04:42:00,2015-07-18 04:42:00,2015-07-18 04:36:00,0,15-9019075,611,Dispatched & cancelled en route,A,28,-78.6345159991419,35.77546935808375
594858,"6108 WOLF PARK DR RALEIGH, NC 27603",                                        ,101,2015-07-16 12:39:00,2015-07-16 13:57:00,2015-07-16 12:35:00,0,15-0021590,111,Building fire,C,8,-78.73361303166861,35.785403626817775
594859,"426 FENTON ST RALEIGH, NC 27601",                                        ,               ,2015-07-03 21:33:00,2015-07-03 21:38:00,2015-07-03 21:30:00,0,15-0020277,740,Unintentional transmission of alarm Other,A,7,-78.61541271916059,35.7994762478097
594860,"120 BROUGHTON DR RALEIGH, NC 27601",NCSU POLK HALL                          ,               ,2015-07-29 09:44:00,2015-07-29 09:59:00,2015-07-29 09:37:00,0,15-0022946,733,Smoke detector activation due to malfunction,A,5,-78.66924673203016,35.786533967972616
594861,"4000 ST JAMES CHURCH RD RALEIGH, NC 27601",                                        ,117,2015-07-19 20:49:00,2015-07-19 20:50:00,2015-07-19 20:43:00,0,15-0021948,611,Dispatched & cancelled en route,A,19,-78.57113458093994,35.835353013051744
594862,"FALLS OF NEUSE RD & WAKEFIELD PINES DR RALEIGH, NC 27601",                                        ,               ,2015-07-04 06:20:00,2015-07-04 06:31:00,2015-07-04 06:16:00,0,15-0020314,500,Service Call other,C,25,-78.62519115321777,35.89325820916228
594864,"1925 TORREY PINES PL RALEIGH, NC 27601",MOORE RESD                              ,               ,2015-07-22 03:39:00,2015-07-22 03:39:00,2015-07-22 03:35:00,0,15-0022203,611,Dispatched & cancelled en route,A,19,-78.60268717765923,35.88500709512826
594865,"313 CHAPANOKE RD RALEIGH, NC 27601",STEVEN ENTERPRISE                       ,               ,2015-07-23 15:49:00,2015-07-23 16:11:00,2015-07-23 15:42:00,0,15-0022353,745,Alarm system activation no fire - unintentional,C,2,-78.64404388318486,35.735930017977964
594866,"11411 COLBERT CREEK LOOP RALEIGH, NC 27603",LEGACY AT WAKEFIELD                     ,               ,2015-07-08 01:43:00,2015-07-08 01:54:00,2015-07-08 01:38:00,0,15-0020711,744,Detector activation no fire - unintentional,C,25,-78.54486182331985,35.95076148496139
594867,"430 N SALISBURY ST RALEIGH, NC 27601",DOBBS BLDG                              ,               ,2015-07-21 08:19:00,2015-07-21 08:28:00,2015-07-21 08:14:00,0,15-0022098,735,Alarm system sounded due to malfunction,B,3,-78.64043774739372,35.774757139198755
594868,"1020 W PEACE ST RALEIGH, NC 27601",RALEIGH APTS                            ,               ,2015-07-09 02:01:00,2015-07-09 02:46:00,2015-07-09 02:00:00,0,15-0020820,444,Power line down,A,1,-78.6547427229973,35.788627548833475
594869,"3030 SPANISH CT RALEIGH, NC 27605",                                        ,7,2015-07-26 17:23:00,2015-07-26 17:42:00,2015-07-26 17:22:00,0,15-0022692,140,Natural vegetation fire Other,A,5,-78.67716760818328,35.79930285419946
594870,"3939 WAKE FOREST RD RALEIGH, NC 27601",MONTECITO                               ,122,2015-07-10 19:50:00,2015-07-10 19:59:00,2015-07-10 19:44:00,0,15-0021003,700,False alarm or false call Other,A,11,-78.61581524256131,35.834375539180506
594871,"2709 PATRICK RD RALEIGH, NC 27601",GRATZL                                  ,               ,2015-07-24 22:48:00,2015-07-24 23:07:00,2015-07-24 22:45:00,0,15-0022503,400,Hazardous condition Other,B,11,-78.60196830893797,35.82393237291924
594872,"695 PALMER DR RALEIGH, NC 27601",ANDERSON BLDG DDH                       ,               ,2015-07-19 20:31:00,2015-07-19 20:50:00,2015-07-19 20:26:00,0,15-0021943,743,Smoke detector activation no fire - unintentional,A,1,-78.65353361128612,35.767549928205064
594873,"6216 WESTGATE RD RALEIGH, NC 27603",                                        ,               ,2015-08-01 02:02:00,2015-08-01 03:11:00,2015-08-01 01:57:00,0,15-0023264,131,Passenger vehicle fire,B,23,-78.75686303291779,35.90399840024371
594874,"1621 BURGUNDY ST RALEIGH, NC 27601",                                        ,               ,2015-07-10 14:13:00,2015-07-10 14:20:00,2015-07-10 14:10:00,0,15-0020970,154,Dumpster or other outside trash receptacle fire,A,7,-78.60991123693465,35.797267335314544
594875,"303 SHELLUM ST RALEIGH, NC 27601",                                        ,               ,2015-07-28 19:12:00,2015-07-28 19:25:00,2015-07-28 19:07:00,0,15-0022896,611,Dispatched & cancelled en route,A,7,-78.6065617031078,35.776513982780756
594876,"312 MARLOWE RD RALEIGH, NC 27609",TERRY AND JUAN MICHAELS RES             ,               ,2015-07-16 09:55:00,2015-07-16 10:18:00,2015-07-16 09:49:00,0,15-0021581,733,Smoke detector activation due to malfunction,B,9,-78.64055040780846,35.82311828980293
594877,"421 S SALISBURY ST RALEIGH, NC 27601",SHERATON HOTEL                          ,               ,2015-07-31 07:32:00,2015-07-31 07:39:00,2015-07-31 07:29:00,0,15-0023162,611,Dispatched & cancelled en route,A,1,-78.64036719640627,35.77494714808984
594878,"1130 FALLS RIVER AVE RALEIGH, NC 27601",FALLS RIVER COURT MEMORY CARE           ,               ,2015-07-21 17:37:00,2015-07-21 17:46:00,2015-07-21 17:33:00,0,15-0022136,743,Smoke detector activation no fire - unintentional,A,22,-78.58776061459146,35.90704143710946
594879,"3121 HUDSON HILL LN RALEIGH, NC 27601",                                        ,               ,2015-07-19 19:09:00,2015-07-19 19:17:00,2015-07-19 19:05:00,0,15-0021931,736,CO detector activation due to malfunction,A,14,-78.701853107375,35.825118597844146
594880,"615 SPRING FOREST RD RALEIGH, NC 27601",SUNRISE ASSISTED LIVING                 ,               ,2015-07-24 16:17:00,2015-07-24 16:26:00,2015-07-24 16:15:00,0,15-0022466,745,Alarm system activation no fire - unintentional,B,15,-78.62711041729702,35.86243415971532
594881,"500 FAYETTEVILLE ST RALEIGH, NC 27601",MARRIOTT DOWNTOWN                       ,               ,2015-07-19 06:40:00,2015-07-19 06:58:00,2015-07-19 06:37:00,0,15-0021881,743,Smoke detector activation no fire - unintentional,C,1,-78.63947417669073,35.77357247610364
594882,"1015 W PEACE ST RALEIGH, NC 27605",                                        ,               ,2015-07-13 00:25:00,2015-07-13 00:46:00,2015-07-13 00:22:00,0,15-0021243,651,Smoke scare odor of smoke,A,5,-78.65392033421931,35.788572881363784
594884,"116 ST MARYS ST RALEIGH, NC 27601",CARRIAGE HOUSE APTS                     ,               ,2015-07-22 15:37:00,2015-07-22 15:54:00,2015-07-22 15:33:00,0,15-0022245,743,Smoke detector activation no fire - unintentional,B,1,-78.65060702226134,35.7824089600904
594885,"220 SNOW AVE RALEIGH, NC 27601",CORNERSTONE                             ,113,2015-07-17 10:33:00,2015-07-17 10:38:00,2015-07-17 10:26:00,0,15-0021683,511,Lock-out,C,1,-78.65221546835397,35.779053374705555
594888,"900 GLENWOOD AVE RALEIGH, NC 27601",                                        ,               ,2015-07-03 19:50:00,2015-07-03 19:59:00,2015-07-03 19:46:00,0,15-0020268,743,Smoke detector activation no fire - unintentional,A,1,-78.64679213326956,35.79100967712742
594889,"I 440 EB & JONES FRANKLIN RD RALEIGH, NC 27601",                                        ,               ,2015-07-16 17:24:00,2015-07-16 17:25:00,2015-07-16 17:19:00,0,15-0021614,700,False alarm or false call Other,C,8,-78.6345159991419,35.77546935808375
594890,"8110 SIX FORKS RD RALEIGH, NC 27615",BAINBRIDGE SIX FORKS                    ,               ,2015-07-30 18:03:00,2015-07-30 18:25:00,2015-07-30 18:00:00,0,15-0023094,733,Smoke detector activation due to malfunction,A,4,-78.64784896077711,35.890149979884065
594893,"2921 THURMAN DR RALEIGH, NC 27601",NCSU SULLIVAN HALL                      ,               ,2015-07-09 01:42:00,2015-07-09 01:59:00,2015-07-09 01:36:00,0,15-0020814,735,Alarm system sounded due to malfunction,A,5,-78.67555368865563,35.786580478891075
594894,"4510 DURALEIGH RD RALEIGH, NC 27601",THE COVINGTON                           ,133,2015-07-12 21:50:00,2015-07-12 22:02:00,2015-07-12 21:47:00,0,15-0021225,551,Assist police or other governmental agency,A,17,-78.71409123198634,35.83955981613335
594895,"330 S SALISBURY ST RALEIGH, NC 27601",WAKE CO PUBLIC SAFETY CTR               ,               ,2015-07-10 14:32:00,2015-07-10 14:40:00,2015-07-10 14:30:00,0,15-0020972,741,Sprinkler activation no fire - unintentional,A,1,-78.64034415012766,35.77598189696765
594897,"4219 VIEWMONT DR RALEIGH, NC 27603",                                        ,               ,2015-07-23 23:14:00,2015-07-23 23:43:00,2015-07-23 23:10:00,0,15-0022399,440,Electrical  wiring/equipment problem Other,C,26,-78.57867527120015,35.741995715889104
594898,"4113 GLEN ERIN WAY RALEIGH, NC 27613",                                        ,               ,2015-07-22 00:24:00,2015-07-22 01:08:00,2015-07-22 00:14:00,0,15-0022179,140,Natural vegetation fire Other,A,16,-78.7068215921934,35.89249256881649
594899,"804 BEVERLY DR RALEIGH, NC 27601",                                        ,               ,2015-07-03 00:21:00,2015-07-03 00:23:00,2015-07-03 00:20:00,0,15-0020180,611,Dispatched & cancelled en route,B,12,-78.59479235085274,35.768492336114726
594901,"911 ILEAGNES RD RALEIGH, NC 27601",PEACH RD COMM CTR                       ,               ,2015-07-17 21:34:00,2015-07-17 21:45:00,2015-07-17 21:31:00,0,15-0021735,743,Smoke detector activation no fire - unintentional,A,2,-78.65512932825119,35.74273548683033
